location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"Amersfoort, remise Strukton","Rheinhausen, emplacement",118,174
"Amersfoort, remise Strukton","Roosendaal, emplacement",81,111
"Amersfoort, remise Strukton",RWG,94,129
"Amersfoort, remise Strukton","Sittard, emplacement",120,177
"Amersfoort, remise Strukton",Sloehaven empl.,118,175
"Amersfoort, remise Strukton",Steinweg Amsterdam,47,63
"Amersfoort, remise Strukton",Stroe,27,34
"Amersfoort, remise Strukton",Stuttgart,361,572
"Amersfoort, remise Strukton","Tilburg, industrie",71,97
"Amersfoort, remise Strukton","Uitgeest, emplacement",57,73
"Amersfoort, remise Strukton","Valburg, emplacement CUP",55,70
"Amersfoort, remise Strukton","Venlo, emplacement",99,137
"Amersfoort, remise Strukton","Viersen, guterbahnhof",119,163
"Amersfoort, remise Strukton","Vlissingen Sloe, emplacement",118,175
"Amersfoort, remise Strukton",Vopak-Sloe,119,175
"Amersfoort, remise Strukton","Waalhaven, emplacement",67,93
"Amersfoort, remise Strukton","Waalhaven, kantoor RFO",70,94
"Amersfoort, remise Strukton","Westhaven, emplacement",45,59
"Amersfoort, remise Strukton",Zevenaar grens,58,70
"Amersfoort, remise Strukton","Zutphen, emplacement",58,73
Amsterdam Centraal,Amsterdam Westhaven,11,6
Amsterdam Centraal,Amsterdam Westhaven West,20,11
Amsterdam Centraal,APMT,85,114
Amsterdam Centraal,"Arnhem, goederenemplacement",81,109
Amsterdam Centraal,"Bad Bentheim, empl. / staalfabriek",123,185
Amsterdam Centraal,"Bad Bentheim, Hilgenstiege sp.25",122,186
Amsterdam Centraal,"Beverwijk, emplacement",32,27
Amsterdam Centraal,Bietigheim-Bissingen,380,608
Amsterdam Centraal,"Blerick, emplacement en werkplaats",126,181
Amsterdam Centraal,"Born, emplacement",132,197
Amsterdam Centraal,"Botlek, emplacement",67,89
Amsterdam Centraal,Bottrop,135,200
Amsterdam Centraal,"Coevorden, euroterminal",122,172
Amsterdam Centraal,Deventer goed. empl.,79,112
Amsterdam Centraal,"Deventer, goederenemplacement",80,112
Amsterdam Centraal,"Dordrecht, dok",74,101
Amsterdam Centraal,"Dortmund Obereving, emplacement",160,244
Amsterdam Centraal,Duisburg Ruhrorthafen,134,203
Amsterdam Centraal,"Duisburg, Hochfeld Süd Vorbahnhof",138,214
Amsterdam Centraal,ECT,87,116
Amsterdam Centraal,"Eindhoven, emplacement",94,134
Amsterdam Centraal,"Eindhoven, emplacement Acht",91,131
Amsterdam Centraal,Eltville Ost,286,445
Amsterdam Centraal,"Emmerich, station",96,136
Amsterdam Centraal,Euromax,89,124
Amsterdam Centraal,"Europoort, emplacement",72,101
Amsterdam Centraal,"Gekkengraaf, emplacement",124,183
Amsterdam Centraal,Germersheim,337,523
Amsterdam Centraal,Goes,125,181
Amsterdam Centraal,"Hengelo, emplacement",108,157
Amsterdam Centraal,"Herzogenrath, station",158,228
Amsterdam Centraal,Holland Cargo Terminal,25,15
Amsterdam Centraal,"Houtrakpolder, emplacement",20,11
Amsterdam Centraal,"IJsselmonde, emplacement",69,92
Amsterdam Centraal,"Kaldenkirchen, station",131,190
Amsterdam Centraal,"Kijfhoek, emplacement",71,98
Amsterdam Centraal,"Köln Eifeltor, emplacement",183,280
Amsterdam Centraal,Koole Vondelingenweg,67,86
Amsterdam Centraal,"Krefeld Linn, emplacement",152,219
Amsterdam Centraal,"Lage Zwaluwe, emplacement",82,115
Amsterdam Centraal,"Leusden, PON",47,62
Amsterdam Centraal,Ludwigshafen-Oggersheim,317,489
Amsterdam Centraal,"Maasvlakte, emplacement",83,115
Amsterdam Centraal,Magdeburg Hbf,326,524
Amsterdam Centraal,"Marl-Sinsen, emplacement",147,228
Amsterdam Centraal,Matrans Rotterdam Terminal,76,88
Amsterdam Centraal,"Moerdijk, emplacement",87,119
Amsterdam Centraal,Moers,141,207
Amsterdam Centraal,"Neuss, guterbahnhof",159,236
Amsterdam Centraal,"Nijmegen, emplacement",95,126
Amsterdam Centraal,NWB terminal,16,7
Amsterdam Centraal,OBA,14,7
Amsterdam Centraal,"Oberhausen West, emplacement",127,199
Amsterdam Centraal,"Oldenzaal, emplacement",113,166
Amsterdam Centraal,"Onnen, emplacement noordingang",127,191
Amsterdam Centraal,"Onnen, emplacement zuidingang",128,196
Amsterdam Centraal,Opladen,162,252
Amsterdam Centraal,"Oss, terminal OOC",86,119
Amsterdam Centraal,"Pernis, emplacement",66,86
Amsterdam Centraal,Rheine,137,206
Amsterdam Centraal,"Rheinhausen, emplacement",148,220
Amsterdam Centraal,"Roosendaal, emplacement",96,135
Amsterdam Centraal,RWG,89,117
Amsterdam Centraal,"Sittard, emplacement",138,204
Amsterdam Centraal,Sloehaven empl.,129,193
Amsterdam Centraal,Steinweg Amsterdam,21,11
Amsterdam Centraal,Stroe,55,76
Amsterdam Centraal,Stuttgart,389,622
Amsterdam Centraal,"Tilburg, industrie",89,121
Amsterdam Centraal,"Uitgeest, emplacement",31,29
Amsterdam Centraal,"Valburg, emplacement CUP",85,122
Amsterdam Centraal,"Venlo, emplacement",129,183
Amsterdam Centraal,"Viersen, guterbahnhof",148,209
Amsterdam Centraal,"Vlissingen Sloe, emplacement",129,193
Amsterdam Centraal,Vopak-Sloe,130,193
Amsterdam Centraal,"Waalhaven, emplacement",62,84
Amsterdam Centraal,"Waalhaven, kantoor RFO",66,86
Amsterdam Centraal,"Westhaven, emplacement",12,6
Amsterdam Centraal,Zevenaar grens,86,119
Amsterdam Centraal,"Zutphen, emplacement",86,115
Amsterdam Westhaven,Amsterdam Westhaven West,13,7
Amsterdam Westhaven,APMT,80,112
Amsterdam Westhaven,"Arnhem, goederenemplacement",80,114
Amsterdam Westhaven,"Bad Bentheim, empl. / staalfabriek",121,189
Amsterdam Westhaven,"Bad Bentheim, Hilgenstiege sp.25",121,190
Amsterdam Westhaven,"Beverwijk, emplacement",25,23
Amsterdam Westhaven,Bietigheim-Bissingen,378,613
Amsterdam Westhaven,"Blerick, emplacement en werkplaats",121,179
Amsterdam Westhaven,"Born, emplacement",126,195
Amsterdam Westhaven,"Botlek, emplacement",61,87
Amsterdam Westhaven,Bottrop,133,205
Amsterdam Westhaven,"Coevorden, euroterminal",121,176
Amsterdam Westhaven,Deventer goed. empl.,77,116
Amsterdam Westhaven,"Deventer, goederenemplacement",78,116
Amsterdam Westhaven,"Dordrecht, dok",69,99
Amsterdam Westhaven,"Dortmund Obereving, emplacement",158,249
Amsterdam Westhaven,Duisburg Ruhrorthafen,133,207
Amsterdam Westhaven,"Duisburg, Hochfeld Süd Vorbahnhof",137,218
Amsterdam Westhaven,ECT,82,114
Amsterdam Westhaven,"Eindhoven, emplacement",89,132
Amsterdam Westhaven,"Eindhoven, emplacement Acht",86,129
Amsterdam Westhaven,Eltville Ost,285,449
Amsterdam Westhaven,"Emmerich, station",94,141
Amsterdam Westhaven,Euromax,84,122
Amsterdam Westhaven,"Europoort, emplacement",67,98
Amsterdam Westhaven,"Gekkengraaf, emplacement",119,181
Amsterdam Westhaven,Germersheim,331,521
Amsterdam Westhaven,Goes,119,179
Amsterdam Westhaven,"Hengelo, emplacement",106,161
Amsterdam Westhaven,"Herzogenrath, station",152,226
Amsterdam Westhaven,Holland Cargo Terminal,18,11
Amsterdam Westhaven,"Houtrakpolder, emplacement",13,8
Amsterdam Westhaven,"IJsselmonde, emplacement",64,89
Amsterdam Westhaven,"Kaldenkirchen, station",125,188
Amsterdam Westhaven,"Kijfhoek, emplacement",65,96
Amsterdam Westhaven,"Köln Eifeltor, emplacement",182,285
Amsterdam Westhaven,Koole Vondelingenweg,62,84
Amsterdam Westhaven,"Krefeld Linn, emplacement",147,217
Amsterdam Westhaven,"Lage Zwaluwe, emplacement",77,113
Amsterdam Westhaven,"Leusden, PON",45,66
Amsterdam Westhaven,Ludwigshafen-Oggersheim,312,487
Amsterdam Westhaven,"Maasvlakte, emplacement",78,112
Amsterdam Westhaven,Magdeburg Hbf,324,529
Amsterdam Westhaven,"Marl-Sinsen, emplacement",145,232
Amsterdam Westhaven,Matrans Rotterdam Terminal,71,86
Amsterdam Westhaven,"Moerdijk, emplacement",82,116
Amsterdam Westhaven,Moers,136,205
Amsterdam Westhaven,"Neuss, guterbahnhof",154,233
Amsterdam Westhaven,"Nijmegen, emplacement",90,123
Amsterdam Westhaven,NWB terminal,6,3
Amsterdam Westhaven,OBA,3,2
Amsterdam Westhaven,"Oberhausen West, emplacement",125,203
Amsterdam Westhaven,"Oldenzaal, emplacement",111,170
Amsterdam Westhaven,"Onnen, emplacement noordingang",125,196
Amsterdam Westhaven,"Onnen, emplacement zuidingang",126,201
Amsterdam Westhaven,Opladen,161,256
Amsterdam Westhaven,"Oss, terminal OOC",81,117
Amsterdam Westhaven,"Pernis, emplacement",61,83
Amsterdam Westhaven,Rheine,136,211
Amsterdam Westhaven,"Rheinhausen, emplacement",143,218
Amsterdam Westhaven,"Roosendaal, emplacement",91,132
Amsterdam Westhaven,RWG,83,114
Amsterdam Westhaven,"Sittard, emplacement",133,202
Amsterdam Westhaven,Sloehaven empl.,124,191
Amsterdam Westhaven,Steinweg Amsterdam,14,7
Amsterdam Westhaven,Stroe,54,80
Amsterdam Westhaven,Stuttgart,388,626
Amsterdam Westhaven,"Tilburg, industrie",84,119
Amsterdam Westhaven,"Uitgeest, emplacement",25,26
Amsterdam Westhaven,"Valburg, emplacement CUP",80,120
Amsterdam Westhaven,"Venlo, emplacement",124,181
Amsterdam Westhaven,"Viersen, guterbahnhof",143,207
Amsterdam Westhaven,"Vlissingen Sloe, emplacement",124,191
Amsterdam Westhaven,Vopak-Sloe,125,191
Amsterdam Westhaven,"Waalhaven, emplacement",57,82
Amsterdam Westhaven,"Waalhaven, kantoor RFO",60,84
Amsterdam Westhaven,"Westhaven, emplacement",1,1
Amsterdam Westhaven,Zevenaar grens,84,124
Amsterdam Westhaven,"Zutphen, emplacement",85,120
Amsterdam Westhaven West,APMT,76,109
Amsterdam Westhaven West,"Arnhem, goederenemplacement",81,116
Amsterdam Westhaven West,"Bad Bentheim, empl. / staalfabriek",122,192
Amsterdam Westhaven West,"Bad Bentheim, Hilgenstiege sp.25",122,192
Amsterdam Westhaven West,"Beverwijk, emplacement",20,25
Amsterdam Westhaven West,Bietigheim-Bissingen,379,615
Amsterdam Westhaven West,"Blerick, emplacement en werkplaats",122,180
Amsterdam Westhaven West,"Born, emplacement",128,197
Amsterdam Westhaven West,"Botlek, emplacement",58,84
Amsterdam Westhaven West,Bottrop,134,207
Amsterdam Westhaven West,"Coevorden, euroterminal",122,179
Amsterdam Westhaven West,Deventer goed. empl.,78,119
Amsterdam Westhaven West,"Deventer, goederenemplacement",79,119
Amsterdam Westhaven West,"Dordrecht, dok",66,97
Amsterdam Westhaven West,"Dortmund Obereving, emplacement",159,251
Amsterdam Westhaven West,Duisburg Ruhrorthafen,134,210
