location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"Hagens, Rien","Amersfoort, emplacement sp.12",44,47
"Hagens, Rien","Amersfoort, remise Strukton",46,44
"Hagens, Rien",Amsterdam Centraal,73,94
"Hagens, Rien",Amsterdam Westhaven,72,98
"Hagens, Rien",Amsterdam Westhaven West,73,101
"Hagens, Rien",APMT,98,144
"Hagens, Rien","Arnhem, goederenemplacement",24,14
"Hagens, Rien","Bad Bentheim, empl. / staalfabriek",82,125
"Hagens, Rien","Bad Bentheim, Hilgenstiege sp.25",82,126
"Hagens, Rien","Beverwijk, emplacement",79,112
"Hagens, Rien","Blerick, emplacement en werkplaats",58,84
"Hagens, Rien","Born, emplacement",88,133
"Hagens, Rien","Botlek, emplacement",79,118
"Hagens, Rien",Bottrop,77,114
"Hagens, Rien","Coevorden, euroterminal",97,136
"Hagens, Rien",Deventer goed. empl.,41,54
"Hagens, Rien","Deventer, goederenemplacement",42,54
"Hagens, Rien","Dordrecht, dok",68,103
"Hagens, Rien","Dortmund Obereving, emplacement",102,157
"Hagens, Rien",Duisburg Ruhrorthafen,77,115
"Hagens, Rien","Duisburg, Hochfeld Süd Vorbahnhof",78,124
"Hagens, Rien",ECT,101,146
"Hagens, Rien","Eindhoven, emplacement",52,75
"Hagens, Rien","Eindhoven, emplacement Acht",54,78
"Hagens, Rien",Eltville Ost,228,357
"Hagens, Rien","Emmerich, station",42,50
"Hagens, Rien",Euromax,103,154
"Hagens, Rien","Europoort, emplacement",85,129
"Hagens, Rien","Gekkengraaf, emplacement",56,82
"Hagens, Rien",Germersheim,268,426
"Hagens, Rien",Goes,122,182
"Hagens, Rien","Hengelo, emplacement",69,97
"Hagens, Rien","Herzogenrath, station",117,170
"Hagens, Rien",Holland Cargo Terminal,76,104
"Hagens, Rien","Houtrakpolder, emplacement",71,101
"Hagens, Rien","IJsselmonde, emplacement",71,102
"Hagens, Rien","Kaldenkirchen, station",61,92
"Hagens, Rien","Kijfhoek, emplacement",66,100
"Hagens, Rien","Köln Eifeltor, emplacement",118,184
"Hagens, Rien",Koole Vondelingenweg,78,115
"Hagens, Rien","Krefeld Linn, emplacement",83,122
"Hagens, Rien","Lage Zwaluwe, emplacement",71,107
"Hagens, Rien","Leusden, PON",38,37
"Hagens, Rien",Ludwigshafen-Oggersheim,249,394
"Hagens, Rien","Maasvlakte, emplacement",97,144
"Hagens, Rien",Magdeburg Hbf,284,465
"Hagens, Rien","Marl-Sinsen, emplacement",91,142
"Hagens, Rien",Matrans Rotterdam Terminal,87,113
"Hagens, Rien","Moerdijk, emplacement",77,111
"Hagens, Rien",Moers,74,110
"Hagens, Rien","Neuss, guterbahnhof",92,139
"Hagens, Rien","Nijmegen, emplacement",27,28
"Hagens, Rien",NWB terminal,72,98
"Hagens, Rien",OBA,73,99
"Hagens, Rien","Oberhausen West, emplacement",70,112
"Hagens, Rien","Oldenzaal, emplacement",73,108
"Hagens, Rien","Onnen, emplacement noordingang",118,176
"Hagens, Rien","Onnen, emplacement zuidingang",114,173
"Hagens, Rien",Opladen,105,165
"Hagens, Rien","Oss, terminal OOC",30,36
"Hagens, Rien","Pernis, emplacement",75,112
"Hagens, Rien",Rheine,98,146
"Hagens, Rien","Rheinhausen, emplacement",81,123
"Hagens, Rien","Roosendaal, emplacement",88,128
"Hagens, Rien",RWG,101,145
"Hagens, Rien","Sittard, emplacement",94,138
"Hagens, Rien",Sloehaven empl.,127,193
"Hagens, Rien",Steinweg Amsterdam,73,101
"Hagens, Rien",Stroe,36,42
"Hagens, Rien","Tilburg, industrie",56,76
"Hagens, Rien","Uitgeest, emplacement",82,111
"Hagens, Rien","Valburg, emplacement CUP",17,18
"Hagens, Rien","Venlo, emplacement",61,86
"Hagens, Rien","Viersen, guterbahnhof",80,112
"Hagens, Rien","Vlissingen Sloe, emplacement",128,194
"Hagens, Rien",Vopak-Sloe,128,193
"Hagens, Rien","Waalhaven, emplacement",72,108
"Hagens, Rien","Waalhaven, kantoor RFO",74,109
"Hagens, Rien","Westhaven, emplacement",71,96
"Hagens, Rien",Zevenaar grens,28,34
"Hagens, Rien","Zutphen, emplacement",42,50
"Jonker, R.M.J.",Acht,109,167
"Jonker, R.M.J.","Almelo, emplacement",18,14
"Jonker, R.M.J.","Amersfoort, emplacement sp.12",74,105
"Jonker, R.M.J.","Amersfoort, remise Strukton",75,110
"Jonker, R.M.J.",Amsterdam Centraal,103,152
"Jonker, R.M.J.",Amsterdam Westhaven,101,156
"Jonker, R.M.J.",Amsterdam Westhaven West,102,159
